case	0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3
acend910	0.1740	0.2900	0.2900	0.2903	0.2903	0.2903	0.2900	0.2903	0.2903	0.2903	0.2900	0.2900	0.2900	0.2900	0.1947	0.1950	0.1947	0.1950	0.1947	0.1947	0.1947	0.0620	0.0620	0.0616
cpu-dram	0.8890	0.8904	0.8890	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
hp11_m	0.1765	0.1765	0.1760	0.1760	0.1765	0.1765	0.1760	0.1765	0.5130	0.1760	0.4347	0.2810	0.4347	2.1847	0.5500	0.2225	0.2420	0.2230	0.2990	0.1960	0.1530	0.1530	0.1521	0.1521
hp6_m	1.3140	1.3148	1.3140	1.3148	1.3140	1.3140	1.3140	1.3148	1.3148	1.3140	1.3140	1.3140	1.3148	1.3148	1.3140	1.3148	1.3140	1.3140	1.3140	1.3140	1.3148	1.3140	1.3140	1.3140
hp8_m	1.4331	1.4331	1.4331	1.4331	1.4331	1.4310	1.2173	1.2190	1.2173	1.2173	1.2190	1.2190	1.2173	1.2173	1.2173	1.2173	1.2190	1.2190	1.2190	1.2173	1.2173	1.2190	1.2173	1.2173
multigpu	0.0428	0.0430	0.1420	0.1420	0.2330	0.2330	0.2330	0.2330	0.2330	0.2330	0.2330	0.2330	0.2330	0.2330	0.2330	0.2330	0.2330	0.2315	0.2310	0.2310	0.2315	0.2310	0.0000	0.0000
syn1	0.3600	0.1429	0.0690	0.1030	0.4800	0.1040	0.1792	0.1792	0.1038	0.0695	0.3850	0.1792	0.0695	0.0695	0.0695	0.1380	0.1380	0.1377	0.0661	0.1380	0.1190	0.1186	0.1000	0.1001
syn5	0.2080	0.0373	0.0000	0.2080	0.1150	0.0740	0.0373	0.1150	0.0373	0.2000	0.0380	0.2080	0.0370	0.5456	0.0000	0.0741	0.1111	0.0560	0.3480	0.0000	0.0370	0.1148	0.0370	0.1601
sys_micro150	0.8890	0.8904	0.8890	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
