case,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3
acend910,66.89,66.92,66.92,66.9,66.92,66.9,66.9,66.92,66.89,66.89,66.92,66.92,66.89,66.56,66.56,66.56,66.56,66.56,66.56,66.56,66.75,66.75,66.75
cpu-dram,105.46,105.46,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44
hp11_m,88.51,88.51,88.51,88.51,88.51,88.51,88.51,90.06,88.15,90.39,93.92,90.39,98.96,91.22,83.22,94.24,83.22,93.82,83.76,83.64,83.64,83.64,83.64
hp6_m,86.32,86.32,86.86,86.41,86.32,86.35,86.35,86.35,86.35,85.48,85.48,85.48,85.48,85.48,85.48,85.48,85.48,85.48,85.48,85.48,85.34,85.34,85.34
hp8_m,86.53,86.53,86.53,86.53,86.53,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08,82.08
multigpu,82.86,81.23,81.23,81.56,81.55,81.56,81.56,81.55,81.55,81.56,81.55,81.56,81.56,81.56,81.56,81.56,81.56,81.54,81.56,81.56,81.56,81.15,80.95
syn1,84.63,82.99,82.9,83.46,81.45,82.46,82.46,81.45,83.17,81.97,82.46,83.17,83.17,83.17,83.05,83.05,83.05,82.21,83.05,83.07,83.07,83.01,83.01
syn5,82.02,82.53,79.53,80.85,82.61,81.06,79.73,80.9,81.02,80.68,79.51,81.0,80.81,81.78,81.22,81.23,79.92,81.09,80.67,81.0,81.5,80.89,81.65
sys_micro150,105.46,105.46,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44
