case	0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3
acend910	1.0000	1.0985	1.0985	1.0985	1.0985	1.0985	1.0985	1.0985	1.0985	1.0985	1.0985	1.0985	1.0985	1.0985	1.1075	1.1075	1.1075	1.1075	1.1075	1.1075	1.1075	1.2468	1.2468	1.2468
cpu-dram	1.0000	1.0000	1.0000	1.1628	1.1628	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1564	1.1564	1.1564	1.1564	1.1564	1.1564	1.1564	1.1564
hp11_m	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9852	1.0000	1.2769	1.1093	1.2769	1.1883	1.3674	1.3596	1.2604	1.3596	1.4914	1.3304	1.4422	1.4422	1.4422	1.4422
hp6_m	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
hp8_m	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884	0.9884
multigpu	1.0000	1.0000	0.9131	0.9131	0.9861	0.9861	0.9861	0.9861	0.9861	0.9861	0.9861	0.9861	0.9861	0.9861	0.9861	0.9861	0.9861	0.9880	0.9880	0.9880	0.9880	0.9880	1.2160	1.2160
syn1	1.0000	1.0000	1.0033	1.0357	1.0324	1.0356	1.0312	1.0312	1.0356	1.0033	1.0446	1.0312	1.0033	1.0033	1.0033	1.0681	1.0681	1.0681	1.0714	1.0681	1.0864	1.0864	1.1048	1.1048
syn5	1.0000	1.0769	1.0385	0.9915	1.0741	1.1154	1.0769	1.0741	1.0769	1.0684	1.0000	0.9915	1.0769	1.0655	1.1168	1.1154	1.1538	1.0962	1.0157	1.1168	1.0769	1.0741	1.0769	1.0328
sys_micro150	1.0000	1.0000	1.0000	1.1628	1.1628	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1629	1.1564	1.1564	1.1564	1.1564	1.1564	1.1564	1.1564	1.1564
