case	0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3
acend910	23498.84	22,452.38	23,357.04	23,124.33	22,774.10	22,831.38	22,964.86	22,964.86	23,357.37	22,712.71	22,645.62	23,229.03	22,823.88	22,658.30	24,601.72	24,601.72	24,772.68	24,964.25	24,772.64	24,793.17	24,964.08	25,009.93	25,010.12	25,081.96
cpu-dram	52215.63	52,215.63	52,215.63	53,747.52	53,747.93	53,748.28	53,748.33	53,748.18	53,748.28	53,748.58	53,748.88	53,748.64	53,748.45	53,748.28	53,748.47	53,748.21	54,712.50	54,712.48	54,712.49	54,712.48	54,712.54	54,712.47	54,712.52	54,712.50
hp11_m	91045.65	90,393.26	91,009.27	90,790.45	90,904.07	91,075.45	90,931.31	91,106.47	92,792.89	92,942.85	93,178.01	95,597.82	93,889.48	102,134.01	95,112.12	99,773.97	98,510.71	99,416.90	102,205.05	102,773.89	100,719.35	101,232.15	100,961.83	100,299.82
hp6_m	10325.31	10,325.19	10,325.31	10,325.31	10,325.49	10,325.31	9,659.49	9,805.74	9,659.31	9,805.60	9,850.71	9,850.90	9,839.28	9,850.90	10,008.43	9,850.95	10,008.57	9,850.71	10,008.78	9,850.77	9,850.95	9,842.95	10,012.45	9,854.09
hp8_m	43228.95	43,367.04	43,187.58	43,274.31	43,219.98	43,144.11	44,272.69	44,057.81	44,354.95	44,367.94	44,107.27	44,477.08	44,338.87	44,215.28	44,339.33	44,477.06	44,355.00	44,477.37	44,325.86	44,450.06	44,449.92	44,271.86	44,134.00	44,216.56
multigpu	54064.82	54,064.65	55,761.39	55,797.93	55,238.41	55,238.58	55,238.58	55,238.58	55,238.41	55,238.58	55,238.41	55,238.58	55,238.41	55,238.58	55,238.24	55,238.41	55,238.41	55,238.75	55,238.75	55,237.85	55,238.24	55,238.41	57,205.94	57,205.60
syn1	47180.81	46,148.09	48,843.15	48,425.95	45,201.91	46,868.45	47,776.54	47,552.60	46,978.19	48,255.01	49,124.22	47,776.15	48,239.52	48,190.46	48,113.24	48,499.88	48,550.58	48,502.02	51,376.19	48,550.37	48,672.57	48,623.10	48,812.68	48,995.33
syn5	69609.06	71,030.60	69,679.59	69,728.58	69,520.83	67,995.04	67,031.10	70,657.16	69,415.47	71,085.25	71,064.48	72,817.33	71,758.59	78,174.04	72,845.62	71,466.94	69,916.89	69,496.09	72,180.97	70,166.65	71,623.79	71,550.94	73,792.90	71,463.31
sys_micro150	52215.63	52,215.63	52,215.63	53,747.52	53,747.93	53,748.28	53,748.33	53,748.18	53,748.28	53,748.58	53,748.88	53,748.64	53,748.45	53,748.28	53,748.47	53,748.21	54,712.50	54,712.48	54,712.49	54,712.48	54,712.54	54,712.47	54,712.52	54,712.50
