output_dir,case,max_temperature_K,max_temperature_C,source_file,location,steady_max_K,grid_max_K
output_gurobi_EMIB_chiplet_5_6_01_01,acend910,340.04,66.89,grid,Layer 2:1896,340.02,340.04
output_gurobi_EMIB_chiplet_5_6_01_01,cpu-dram,378.61,105.46,grid,Layer 2:2015,378.41,378.61
output_gurobi_EMIB_chiplet_5_6_01_01,hp11_m,361.66,88.51,grid,Layer 2:1244,361.16,361.66
output_gurobi_EMIB_chiplet_5_6_01_01,hp6_m,359.47,86.32,grid,Layer 2:1959,359.26,359.47
output_gurobi_EMIB_chiplet_5_6_01_01,hp8_m,359.68,86.53,grid,Layer 2:349,359.41,359.68
output_gurobi_EMIB_chiplet_5_6_01_01,multigpu,356.01,82.86,grid,Layer 2:2273,355.81,356.01
output_gurobi_EMIB_chiplet_5_6_01_01,syn1,357.78,84.63,grid,Layer 2:2966,357.6,357.78
output_gurobi_EMIB_chiplet_5_6_01_01,syn5,355.17,82.02,grid,Layer 2:1246,354.87,355.17
output_gurobi_EMIB_chiplet_5_6_01_01,sys_micro150,378.61,105.46,grid,Layer 2:2015,378.41,378.61
output_gurobi_EMIB_chiplet_5_6_01_02,acend910,340.07,66.92,grid,Layer 2:2007,340.06,340.07
output_gurobi_EMIB_chiplet_5_6_01_02,cpu-dram,378.61,105.46,grid,Layer 2:2015,378.41,378.61
output_gurobi_EMIB_chiplet_5_6_01_02,hp11_m,361.66,88.51,grid,Layer 2:1811,361.16,361.66
output_gurobi_EMIB_chiplet_5_6_01_02,hp6_m,359.47,86.32,grid,Layer 2:2526,359.26,359.47
output_gurobi_EMIB_chiplet_5_6_01_02,hp8_m,359.68,86.53,grid,Layer 2:349,359.41,359.68
output_gurobi_EMIB_chiplet_5_6_01_02,multigpu,354.38,81.23,grid,Layer 2:2729,353.88,354.38
output_gurobi_EMIB_chiplet_5_6_01_02,syn1,356.14,82.99,grid,Layer 2:2926,356.08,356.14
output_gurobi_EMIB_chiplet_5_6_01_02,syn5,355.68,82.53,grid,Layer 2:1770,355.45,355.68
output_gurobi_EMIB_chiplet_5_6_01_02,sys_micro150,378.61,105.46,grid,Layer 2:2015,378.41,378.61
output_gurobi_EMIB_chiplet_5_6_01_03,acend910,340.07,66.92,grid,Layer 2:2591,340.06,340.07
output_gurobi_EMIB_chiplet_5_6_01_03,cpu-dram,375.22,102.07,grid,Layer 2:2719,372.77,375.22
output_gurobi_EMIB_chiplet_5_6_01_03,hp11_m,361.66,88.51,grid,Layer 2:1836,361.16,361.66
output_gurobi_EMIB_chiplet_5_6_01_03,hp6_m,360.01,86.86,grid,Layer 2:2200,359.68,360.01
output_gurobi_EMIB_chiplet_5_6_01_03,hp8_m,359.68,86.53,grid,Layer 2:3741,359.41,359.68
output_gurobi_EMIB_chiplet_5_6_01_03,multigpu,354.38,81.23,grid,Layer 2:1321,353.88,354.38
output_gurobi_EMIB_chiplet_5_6_01_03,syn1,356.05,82.9,grid,Layer 2:2520,355.9,356.05
output_gurobi_EMIB_chiplet_5_6_01_03,syn5,352.68,79.53,grid,Layer 2:3171,352.18,352.68
output_gurobi_EMIB_chiplet_5_6_01_03,sys_micro150,375.22,102.07,grid,Layer 2:2719,372.77,375.22
output_gurobi_EMIB_chiplet_5_6_01_04,acend910,340.05,66.9,grid,Layer 2:2592,340.04,340.05
output_gurobi_EMIB_chiplet_5_6_01_04,cpu-dram,375.22,102.07,grid,Layer 2:2720,372.77,375.22
output_gurobi_EMIB_chiplet_5_6_01_04,hp11_m,361.66,88.51,grid,Layer 2:1251,361.16,361.66
output_gurobi_EMIB_chiplet_5_6_01_04,hp6_m,359.56,86.41,grid,Layer 2:2529,359.33,359.56
output_gurobi_EMIB_chiplet_5_6_01_04,hp8_m,359.68,86.53,grid,Layer 2:349,359.41,359.68
output_gurobi_EMIB_chiplet_5_6_01_04,multigpu,354.71,81.56,grid,Layer 2:1363,354.27,354.71
