output_dir,case_count,avg_wirelength,avg_area,avg_max_temperature_K,avg_max_temperature_C,avg_abs_aspect_ratio_minus_1
output_gurobi_EMIB_chiplet_5_6_01_01,9,49134.7189,866.3389,360.7811,87.6311,0.3048
output_gurobi_EMIB_chiplet_5_6_01_02,9,49621.6211,850.3267,360.4778,87.3278,0.4842
output_gurobi_EMIB_chiplet_5_6_01_03,9,49884.6556,872.0222,359.4411,86.2911,0.2246
output_gurobi_EMIB_chiplet_5_6_01_04,9,49408.9611,889.3411,359.6344,86.4844,0.3462
output_gurobi_EMIB_chiplet_5_6_01_05,9,49441.6533,892.9011,359.5978,86.4478,0.3886
output_gurobi_EMIB_chiplet_5_6_01_06,9,49485.6922,888.5378,359.0456,85.8956,0.3067
output_gurobi_EMIB_chiplet_5_6_01_07,9,49875.5089,888.3156,358.8978,85.7478,0.292
output_gurobi_EMIB_chiplet_5_6_01_08,9,49921.4611,887.2122,359.0889,85.9389,0.2427
output_gurobi_EMIB_chiplet_5_6_01_09,9,50211.6778,885.0933,359.0778,85.9278,0.3031
output_gurobi_EMIB_chiplet_5_6_01_1,9,50300.72,916.9589,359.06,85.91,0.4094
output_gurobi_EMIB_chiplet_5_6_01_11,9,50720.4633,894.9311,359.3789,86.2289,0.407
output_gurobi_EMIB_chiplet_5_6_01_12,9,50402.77,918.8544,359.2322,86.0822,0.2234
output_gurobi_EMIB_chiplet_5_6_01_13,9,51995.3478,907.37,360.16,87.01,0.306
output_gurobi_EMIB_chiplet_5_6_01_14,9,50861.7378,933.9289,359.3711,86.2211,0.3204
output_gurobi_EMIB_chiplet_5_6_01_15,9,51267.2611,939.3344,358.4067,85.2567,0.216
output_gurobi_EMIB_chiplet_5_6_01_16,9,51197.5378,929.5944,357.9367,84.7867,0.3739
output_gurobi_EMIB_chiplet_5_6_01_17,9,51263.45,937.25,356.5667,83.4167,0.3681
output_gurobi_EMIB_chiplet_5_6_01_18,9,52170.3578,947.0556,357.7789,84.6289,0.404
output_gurobi_EMIB_chiplet_5_6_01_19,9,51694.1911,935.3644,356.71,83.56,0.2879
output_gurobi_EMIB_chiplet_5_6_01_2,9,51660.4422,947.4411,356.7356,83.5856,0.1974
output_gurobi_EMIB_chiplet_5_6_01_25,1,108413.62,19881.0,386.07,112.92,0.0
output_gurobi_EMIB_chiplet_5_6_01_3,2,66766.135,10662.23,363.05,89.9,0.031
output_gurobi_EMIB_chiplet_5_6_01_4,5,48711.54,4654.422,360.732,87.582,0.2248
