case	0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3
acend910	66.18	67.07	67.1	67.1	67.07	67.1	67.08	67.08	67.1	67.06	67.06	67.1	67.1	67.06	66.8	66.8	66.8	66.8	66.8	66.8	66.8	67.04	67.04	67.05
cpu-dram	106	106	106	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	96.02	96.02	96.02	96.02	96.02	96.02	96.02	96.02
hp11_m	92.82	89.43	89.43	89.43	89.43	89.43	89.43	89.43	90.78	89.15	91	94.41	91	98.47	91.48	84.18	94.8	84.18	94.16	84.81	84.82	84.82	84.82	84.82
hp6_m	87.46	86.94	86.94	87.46	87.02	86.94	87.13	87.13	87.13	87.13	86.47	86.47	86.47	86.47	86.47	86.47	86.47	86.47	86.47	86.47	86.47	86.34	86.34	86.34
hp8_m	87.53	87.53	87.53	87.53	87.53	87.53	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97	82.97
multigpu	83.58	83.49	81.85	81.85	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.01	82.02	82.01	82.01	82.01	81.66	81.46
syn1	85.42	85.72	84.2	83.99	84.33	82.66	83.49	83.49	82.66	84.34	82.95	83.49	84.34	84.34	84.34	84.09	84.09	84.09	83.39	84.09	84.11	84.11	84.06	84.06
syn5	80.59	83.06	83.62	80.58	81.86	83.65	82.09	80.85	81.92	81.94	81.9	80.52	82.02	81.52	82.8	82.23	82.14	80.93	81.9	81.7	82.02	82.5	81.93	82.6
sys_micro150	106	106	106	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	103.53	96.02	96.02	96.02	96.02	96.02	96.02	96.02	96.02
